건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
현진파크뷰, 염창동 252,5층,2020 6 19,"24,100/0",28.41,8.6,2019,30839.793281653747,0.0
GF오피스텔, 염창동 250-5,5층,2020 6 27,"23,800/0",74.4,22.5,2001,10577.777777777777,0.0
등촌크라운팰리스, 등촌동 641-9,13층,2020 6 18,"24,000/0",28.4,8.6,2019,23424.218123496394,13.6327185244587
청림오피스텔 별관, 등촌동 637-21,3층,2020 6 19,"9,000/0",18.9,5.7,2002,9371.052631578947,24.736842105263154
더플러스, 화곡동 24-76,7층,2020 6 1,"27,900/0",48.3,14.6,2019,19109.589041095893,0.0
디아인스, 화곡동 1075-27,6층,2020 6 2,"9,000/0",17.64,5.3,2015,16981.132075471698,0.0
아델리아Ⅴ, 화곡동 105-370,3층,2020 6 3,"11,000/0",21.26,6.4,2013,17187.5,0.0
	(24-103)	, 화곡동 24-103,6층,2020 6 3,"9,000/0",24.63,7.5,2002,12000.0,0.0
한양아이클래스, 화곡동 926-5,2층,2020 6 9,"3,000/24",16.73,5.1,2013,5882.35294117647,47.05882352941177
우공팰리스, 화곡동 916-32,2층,2020 6 9,"20,000/0",79.86,24.2,2008,8264.462809917355,0.0
거산풀하우스, 화곡동 982-12,4층,2020 6 10,"8,000/0",23.4,7.1,2012,11267.605633802817,0.0
	(176-8)	, 잠실동 176-8,5층,2020 6 24,"5,000/40",21.65,6.5,2012,21538.46153846154,15.384615384615385
(58-14), 송파동 58-14,3층,2020 6 15,"28,000/0",35.48,10.7,2020,27181.71978696656,0.0
나루빌, 송파동 85-5,4층,2020 6 24,500/50,20.13,6.1,2002,819.672131147541,81.96721311475412
	(17-6)	, 송파동 17-6,4층,2020 6 26,"2,000/45",28.81,8.7,2004,1724.1379310344828,54.59770114942529
두보팰리스, 공릉동 568-7,4층,2020 6 23,"1,000/45",17.4,5.3,2019,1257.861635220126,91.19496855345913
노빌리안골드, 상계동 734-3,7층,2020 6 8,500/55,24.68,7.5,2004,633.7448559670783,69.71193415637859
소담빌, 상계동 330-29,2층,2020 6 30,"13,000/10",28.41,8.6,2014,15116.279069767443,11.627906976744187
행복오피스텔, 면목동 1546,3층,2020 6 5,"29,000/0",62.0,18.8,2020,17232.015447594244,4.674877355774194
제니스, 홍제동 159-3,6층,2020 6 22,"19,000/0",27.36,8.3,2020,22303.74986294692,5.68019943019943
아리움Ⅰ, 대현동 90-15,8층,2020 6 13,"1,000/70",13.78,4.2,2019,10413.922888608926,125.22291935642181
	(413-126)	, 연희동 413-126,3층,2020 6 19,"2,000/35",20.58,6.2,2003,2258.064516129032,61.29032258064516
백경타운, 쌍문동 88-4,12층,2020 7 1,"20,500/0",37.56,11.4,2017,12846.491228070176,35.0
스카이드림타운, 방학동 715-3,2층,2020 7 10,"28,000/0",78.23,23.7,2019,12302.782499628669,0.0
다이아포레, 도봉동 634-6,2층,2020 7 1,"18,200/0",38.99,11.8,2017,15423.72881355932,0.0
하나목동아이파크 뷰, 신정동 973-40,7층,2020 7 17,"29,000/0",28.17,8.5,2020,34981.38495904691,0.0
클레버 타워, 신정동 944-3,4층,2020 7 20,"15,000/0",40.74,12.3,2003,10419.335737604753,11.019283746556475
(33-6), 익선동 33-6,2층,2020 7 6,"6,000/0",23.15,7.0,2002,8596.059113300491,0.0
포레스트힐시티, 효제동 65-2,5층,2020 7 4,"17,850/0",28.86,8.7,2017,22164.75095785441,0.0
을지 웰 라이프, 을지로4가 187-9,10층,2020 7 7,"26,000/0",29.93,9.1,2019,14902.99823633157,52.46913580246914
대현프리몰, 신당동 421-1,5층,2020 7 27,"1,000/64",18.18,5.5,2018,1486.7863060634145,104.67054230909652
리마크빌 동대문, 흥인동 86,7층,2020 7 22,"1,000/88",30.3,9.2,2016,1210.144927536232,101.15942028985508
골든빌, 황학동 1752,4층,2020 7 1,500/58,34.11,10.3,2001,485.43689320388347,56.31067961165048
벨로하우스황학, 황학동 1565,4층,2020 7 1,"22,500/0",34.9,10.6,2018,21465.56603773585,0.0
현대델리안오피스텔, 명일동 47-18,9층,2020 7 11,"59,000/0",144.67,43.8,2006,10893.672537508155,0.0
더힐스빌, 길동 350-3,5층,2020 7 15,"29,000/0",43.08,13.0,2020,21522.926349825688,0.0
광남캐스빌, 길동 389-9,4층,2020 7 15,"13,000/0",32.59,9.9,2005,8742.985409652078,21.885521885521886
강동리시온, 암사동 501-19,5층,2020 7 4,"11,000/0",28.44,8.6,1980,11245.521464399715,0.0
	(48-42)	, 성내동 48-42,2층,2020 7 25,"8,000/15",24.25,7.3,2004,11415.52511415525,15.981735159817354
한성하우징, 천호동 155-3,6층,2020 7 4,"11,000/0",33.66,10.2,2002,10840.54834054834,0.0
아이빌리지, 천호동 167-43,8층,2020 7 4,"1,000/64",23.49,7.1,2016,12891.843816522322,30.046948356807516
현일 디와이디, 천호동 163-7,2층,2020 7 10,"21,000/0",25.82,7.8,2019,28930.39498658529,10.198604401502953
더결블레스, 천호동 562-2,2층,2020 7 10,"25,000/0",44.54,13.5,2020,22985.50724637681,0.0
주성아파텔, 천호동 167-117,8층,2020 7 10,300/5,48.8,14.8,2016,202.7027027027027,3.378378378378378
천호태영, 천호동 566,1층,2020 7 11,"27,000/0",48.31,14.6,1999,18493.150684931505,0.0
선경오피스텔, 천호동 165-1,4층,2020 7 18,"9,450/0",20.65,6.2,2002,9975.667466677516,15.384615384615385
미사 아름채 아파트, 천호동 452-15,3층,2020 7 20,"16,500/0",17.76,5.4,2020,31186.250201580384,0.0
다성 이즈빌, 천호동 167-102,2층,2020 7 20,500/45,13.97,4.2,2017,1190.4761904761904,107.14285714285714
재호예향빌, 금호동4가 1028,2층,2020 7 22,"8,500/0",23.33,7.1,2003,11971.830985915494,0.0
흥화브라운 동소문빌딩, 동소문동4가 75,5층,2020 7 20,"31,000/0",73.54,22.2,2006,7398.648648648649,25.0
., 동선동1가 85-65,4층,2020 7 26,"8,000/0",15.92,4.8,2013,14444.444444444443,7.4074074074074066
영팰리스, 동선동4가 148,2층,2020 7 20,500/60,33.34,10.1,2014,825.0825082508252,56.1056105610561
정안타워빌, 정릉동 480-1,5층,2020 7 10,"22,000/0",57.31,17.3,2015,12310.908867297992,0.0
로얄파크빌, 종암동 3-1278,3층,2020 7 22,"34,000/0",73.82,22.3,2015,15246.636771300447,0.0
(175-25), 석관동 175-25,3층,2020 7 4,"22,000/0",56.92,17.2,2015,12790.697674418605,0.0
세종캐슬, 석관동 176-11,3층,2020 7 4,"6,000/60",59.2,17.9,2016,3351.95530726257,33.519553072625705
금반석 시티빌 8차, 영등포동1가 27-3,6층,2020 7 17,"1,000/50",15.4,4.7,2014,2443.2023079697074,105.2109628561125
(750-9), 방배동 750-9,3층,2020 7 5,"28,000/0",23.59,7.1,2019,22385.64608833809,60.985797827903106
서울대역 마에스트로, 봉천동 869-6,10층,2020 7 1,"1,200/55",20.5,6.2,2012,9986.197663741448,63.16567757604246
	(701-20)	, 봉천동 701-20,3층,2020 7 1,"6,000/8",18.0,5.4,2002,11111.111111111111,14.814814814814813
	(874-19)	, 봉천동 874-19,7층,2020 7 2,"7,500/0",15.84,4.8,2004,14861.111111111111,0.0
