건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
CG아름채 목동아파트, 목동 555-4,2층,2020 10 5,"     5,000/       100",69.85300000000001,21.1,2016,14970.319290935759,17.343841525107834
건진, 목동 761-13,4층,2020 10 5,"    27,000/         0",58.9,17.8,1994,11291.847923015486,6.34920634920635
래디앙아파트, 목동 408-219,6층,2020 10 6,"    67,000/         0",84.09,25.4,2003,20188.36063738478,4.1469194312796205
청포도아파트, 목동 745-1,4층,2020 10 6,"    27,500/         0",84.87,25.7,2000,10700.389105058366,0.0
효원빌라트, 목동 135-6,10층,2020 10 7,"    30,000/       180",160.36,48.5,1994,9553.264604810996,15.120274914089347
명지해드는터, 목동 957,6층,2020 10 10,"    52,000/         0",84.82,25.7,2005,18765.82669384226,0.0
대원, 목동 502-7,5층,2020 10 19,"    60,000/         0",84.986,25.7,2002,19259.854508543394,0.0
리버하이츠, 목동 131-45,5층,2020 10 23,"    35,000/         0",82.38,24.9,2000,14056.224899598394,0.0
현대I-PARK, 목동 940,11층,2020 10 25,"    20,000/       165",82.81,25.1,2003,24264.78393118606,9.520252324037184
에이스, 목동 769-19,4층,2020 10 28,"    38,000/         0",58.07,17.6,1997,14168.527908567748,5.423553719008264
일신파스텔, 목동 721-2,6층,2020 10 30,"    38,000/         0",84.24,25.5,1998,14901.960784313726,0.0
건영, 목동 928,8층,2020 10 30,"    37,000/         0",84.39,25.5,1994,13122.994652406416,0.0
목동길성그랑프리텔, 목동 739-5,3층,2020 10 31,"    33,500/         0",65.3727,19.8,2003,16983.022313530786,0.0
대원칸타빌, 목동 808-5,9층,2020 10 31,"    30,000/       150",81.233,24.6,2001,21340.472198496303,9.485094850948508
삼익, 목동 933,3층,2020 10 31,"    43,000/         0",59.87,18.1,1997,22702.02803929743,4.872466080823095
수명산태승훼미리, 신월동 18-17,10층,2020 10 6,"    32,000/         0",84.33,25.5,2002,13842.203548085901,0.0
나산, 신월동 217-2,5층,2020 10 9,"    31,500/         0",84.18,25.5,1997,9165.974554339846,4.604051565377532
신월보성, 신월동 465-5,7층,2020 10 9,"    19,000/        30",114.91,34.8,1996,5459.770114942529,8.620689655172415
해주, 신월동 217-8,1층,2020 10 13,"    23,000/         0",59.59,18.0,2001,12777.777777777777,0.0
동서, 신월동 1069,4층,2020 10 13,"    34,000/         0",76.82,23.2,2014,9339.080459770115,4.310344827586207
스카이캐슬아파트(512-8), 신월동 512-8,2층,2020 10 14,"    39,000/         0",52.82,16.0,2020,23221.153846153848,0.0
삼익플라주, 신월동 1042,3층,2020 10 15,"    31,000/         0",84.736,25.6,2006,12032.948369565218,0.0
롯데캐슬(1057-0), 신월동 1057,5층,2020 10 18,"    10,000/       100",70.91,21.5,2010,12438.091525428812,15.091394443941725
해태, 신월동 514-3,13층,2020 10 27,"    29,000/         0",84.05,25.4,1999,10515.508342644694,3.8910505836575875
유림웰스빌, 신월동 548-1,8층,2020 10 28,"    25,000/         0",80.02,24.2,2004,10703.652242953554,0.0
신월6차보람, 신월동 125,1층,2020 10 30,"    24,150/         0",59.232,17.9,2005,12676.908752327749,6.517690875232774
대방샤인힐, 신월동 1017,9층,2020 10 31,"    33,000/         0",59.648,18.0,2003,13744.290838638535,0.0
신동아블루아광화문의 꿈, 필운동 254,10층,2020 10 19,"    78,750/         0",111.97,33.9,2007,22595.423259140076,0.0
광화문풍림스페이스본(106동), 사직동 9-1,7층,2020 10 22,"    60,000/       120",150.4,45.5,2008,17894.951415579493,6.593406593406593
롯데미도파광화문빌딩, 당주동 145,7층,2020 10 20,"    45,000/         0",149.95,45.4,1981,12000.130938693845,3.03951367781155
세종, 당주동 100,7층,2020 10 29,"    48,000/         0",105.07,31.8,1983,11565.97658063069,10.753240746688594
경희궁의아침4단지, 내수동 73,12층,2020 10 21,"    94,500/         0",150.48,45.5,2004,20973.96496332667,18.127099664053752
경희궁 파크팰리스, 내수동 95,8층,2020 10 30,"    30,000/       200",103.77,31.4,2003,14081.33102212561,32.022480173770916
디팰리스, 신문로2가 171,9층,2020 10 8,"   275,000/         0",147.55100000000002,44.6,2020,61659.192825112106,0.0
방산아파트, 명륜1가 5-89,1층,2020 10 9,"     8,900/         0",57.1,17.3,1995,5144.508670520231,0.0
브라운스톤창신, 창신동 23-76,13층,2020 10 19,"    20,000/         0",84.81,25.7,2006,13858.65893860787,8.214440121054908
동대문상가, 창신동 436-64,4층,2020 10 29,"     5,000/         0",48.32,14.6,1968,2045.662100456621,13.333333333333332
종로동광모닝스카이, 숭인동 1421-1,10층,2020 10 14,"     3,000/        40",15.855,4.8,2013,13295.45454545455,57.38636363636364
숭인동 103동 (569-4), 숭인동 569-4,1층,2020 10 16,"    18,000/         0",59.74,18.1,2000,9495.85635359116,0.0
삼전솔하임4차, 숭인동 318-2,12층,2020 10 17,"     3,000/        43",15.09,4.6,2014,7588.566827697263,90.45893719806763
동일상가, 숭인동 232-29,6층,2020 10 26,"     1,000/        40",39.27,11.9,1971,840.3361344537815,33.61344537815126
갑을, 평창동 595,7층,2020 10 19,"     1,000/        60",30.55,9.2,1997,8957.686335403729,27.61895519077196
무악다온채, 무악동 66-1,2층,2020 10 7,"    45,000/         0",84.82,25.7,2011,17509.727626459142,0.0
삼풍, 회현동1가 146-1,9층,2020 10 29,"    20,000/         0",69.13,20.9,1975,8953.528765052393,12.0
충무, 묵정동 11-2,2층,2020 10 23,"    10,000/        70",67.77,20.5,1982,7560.975609756098,27.235772357723572
이지마루오장, 오장동 206-34,14층,2020 10 6,"    26,000/         0",22.46,6.8,2018,26869.28104575163,53.33333333333333
신당역솔하임, 신당동 140-23,18층,2020 10 5,"    14,700/         0",14.01,4.2,2016,25270.930232558138,69.03377630121815
동산빌라(2차), 신당동 432-1952,2층,2020 10 15,"    18,000/         0",54.46,16.5,2001,10909.09090909091,0.0
삼성V아파트B동, 신당동 290-44,4층,2020 10 20,"     8,000/       120",84.84,25.7,2007,3112.8404669260703,46.692607003891055
토토타워(5차), 신당동 432-1061,3층,2020 10 20,"    17,000/         0",59.94,18.1,2001,9392.265193370165,0.0
노블레스2, 신당동 432-1653,2층,2020 10 20,"    45,150/         0",84.93,25.7,2002,13758.106355382622,25.616083009079116
타워, 신당동 294-12,5층,2020 10 22,"    50,400/         0",99.09,30.0,2002,16800.0,0.0
약수(372-13), 신당동 372-13,4층,2020 10 27,"     1,000/        58",48.07,14.5,1968,4138.509242830501,31.81226368568141
벨레어카운티, 신당동 407-17,4층,2020 10 31,"     1,000/       320",172.34,52.1,2004,191.93857965451056,61.42034548944338
DUO302, 황학동 819,5층,2020 10 23,"    15,500/         0",15.97,4.8,2014,9305.555555555558,100.97222222222223
동광팰리스, 황학동 1572,14층,2020 10 24,"    25,000/         0",25.9,7.8,2018,29595.62327098559,4.092071611253197
정동상림원, 정동 15-6,3층,2020 10 10,"    68,000/         0",125.4,37.9,2008,18888.33162519898,0.0
태천해오름101동, 명일동 355,4층,2020 10 6,"    45,000/         0",84.76,25.6,2004,16276.041666666668,0.0
명일진로, 명일동 47-12,9층,2020 10 10,"    50,000/         0",118.44,35.8,1994,10011.173184357544,1.6759776536312851
삼환고덕, 명일동 41,10층,2020 10 14,"    55,000/         0",84.64399999999999,25.6,1987,14149.570206639566,4.8828125
KNP, 명일동 336-12,3층,2020 10 17,"    53,000/         0",84.6,25.6,2002,17968.75,0.0
율전에버그린아파트, 길동 394-17,8층,2020 10 8,"    21,000/         0",34.83,10.5,2016,18554.21686746988,12.048192771084336
광남캐스빌(247-0), 길동 247,3층,2020 10 17,"    55,000/         0",84.43,25.5,2006,11176.470588235296,22.549019607843135
예다움, 길동 347-27,8층,2020 10 21,"    34,650/         0",79.25,24.0,2004,10508.223684210527,0.0
