건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
명가빌리지(504-8),갈현동 504-8,3층,2020 10 24,"     2,000/        55",33.97,10.3,2011,3425.026968716289,45.57713052858684,연립/다세대,적정보증금,고월세,126.914346,37.618098
신하우스(228-20),갈현동 228-20,4층,2020 10 26,"     1,000/        55",17.14,5.2,2015,8347.902097902099,52.884615384615394,연립/다세대,적정보증금,고월세,126.920559,37.617687
미르라이프(25-36),구산동 25-36,5층,2020 10 5,       200/        70,45.76,13.8,2014,144.92753623188403,50.72463768115942,연립/다세대,적정보증금,고월세,126.911757,37.607677
진양빌라(2-19),구산동 2-19,1층,2020 10 8,"     1,000/        40",33.28,10.1,1991,990.0990099009905,39.603960396039604,연립/다세대,적정보증금,고월세,126.91555,37.610874
구산아이빌(2-9),구산동 2-9,5층,2020 10 15,"     3,000/        60",28.27,8.6,2016,8021.033920900609,44.57364341085271,연립/다세대,적정보증금,고월세,126.915875,37.611112
구산아이빌(2-8),구산동 2-8,5층,2020 10 18,"     2,000/        65",28.67,8.7,2016,5524.425287356322,37.356321839080465,연립/다세대,적정보증금,고월세,126.915715,37.611164
구산아이빌(2-8),구산동 2-8,5층,2020 10 18,"     2,000/        65",28.67,8.7,2016,5524.425287356322,37.356321839080465,연립/다세대,적정보증금,고월세,126.915715,37.611164
태성그랑빌(317-18),구산동 317-18,2층,2020 10 19,"     3,000/        70",63.39,19.2,2002,1562.5,36.458333333333336,연립/다세대,적정보증금,고월세,126.906404,37.61590800000001
대고샤인빌,구산동 21-45,6층,2020 10 29,"     3,000/        70",50.35,15.2,2014,1973.6842105263158,46.05263157894736,연립/다세대,적정보증금,고월세,126.914892,37.607796
신한리더스빌,대조동 7-3,5층,2020 10 7,"     2,000/        60",29.15,8.8,2012,2272.7272727272725,68.18181818181817,연립/다세대,적정보증금,고월세,126.927259,37.611035
하이얀빌라,대조동 196-23,3층,2020 10 9,"     4,000/        68",57.45,17.4,2002,1436.7816091954026,43.390804597701155,연립/다세대,적정보증금,고월세,126.917438,37.601737
은혜빌라A,대조동 31-1,2층,2020 10 16,"     2,000/        65",49.43,15.0,2009,1333.3333333333335,43.33333333333333,연립/다세대,적정보증금,고월세,126.926228,37.610251
(195-11),대조동 195-11,4층,2020 10 17,       500/        45,12.02,3.6,2014,1335.4700854700855,116.34615384615385,연립/다세대,적정보증금,고월세,127.144431,37.531688
트라움궁,대조동 84-5,4층,2020 10 22,"     4,000/        40",29.52,8.9,2012,3932.584269662921,53.37078651685393,연립/다세대,적정보증금,고월세,126.919222,37.598942
리모스튜디오,응암동 579-35,3층,2020 10 21,"     3,000/        40",14.72,4.5,2012,6595.744680851063,82.38770685579199,연립/다세대,적정보증금,고월세,126.915805,37.594072
거성리젠시(A동),응암동 588-15,2층,2020 10 22,"     3,000/        60",47.41,14.3,2013,2097.902097902098,41.95804195804196,연립/다세대,적정보증금,고월세,126.915501,37.590015
(749-42),응암동 749-42,2층,2020 10 30,"     1,000/        40",29.14,8.8,1986,1136.3636363636365,45.45454545454545,연립/다세대,적정보증금,고월세,126.918595,37.588304
개울가주택,응암동 122-2,2층,2020 10 30,"     1,000/        45",22.5,6.8,2013,1345.0502152080346,62.96628407460547,연립/다세대,적정보증금,고월세,126.916319,37.596843
동명홈타운A동,응암동 118-31,5층,2020 10 31,"     2,000/        60",37.62,11.4,2002,1754.3859649122805,52.631578947368425,연립/다세대,적정보증금,고월세,126.917633,37.596837
삼익그린빌라,역촌동 69-3,3층,2020 10 10,"     1,000/        48",42.09,12.7,1993,787.4015748031495,37.795275590551185,연립/다세대,적정보증금,고월세,126.909357,37.587391
거성리젠시(25-6),역촌동 25-6,2층,2020 10 13,"     5,000/        65",55.06,16.7,2011,2994.011976047904,38.92215568862276,연립/다세대,적정보증금,고월세,126.920455,37.605306
(5-24),신사동 5-24,2층,2020 10 7,"     1,000/        42",31.8,9.6,1986,1041.6666666666667,43.75,연립/다세대,적정보증금,고월세,126.911322,37.599446
에스엠벨리체,신사동 29-186,3층,2020 10 13,"     3,000/        70",26.81,8.1,2016,9506.531725523975,53.086419753086425,연립/다세대,적정보증금,고월세,127.09113899999998,37.55515
(30-47),신사동 30-47,2층,2020 10 24,"     1,000/        27",14.7,4.4,2013,1717.7589852008457,77.19344608879494,연립/다세대,적정보증금,고월세,127.080671,37.532939
(237-49),신사동 237-49,1층,2020 10 30,"     1,000/        60",43.41,13.1,1993,763.3587786259543,45.80152671755726,연립/다세대,적정보증금,고월세,126.905126,37.597218
(201-7),증산동 201-7,1층,2020 10 20,"     1,000/        12",14.77,4.5,1982,1303.0990173847315,38.79062736205593,연립/다세대,적정보증금,고월세,127.090386,37.561208
(619-6),중곡동 619-6,2층,2020 10 12,       300/        50,37.5,11.3,2010,265.4867256637168,44.24778761061947,연립/다세대,적정보증금,고월세,127.0775,37.560748
258-24,중곡동 258-24,4층,2020 10 16,"     6,000/        45",27.69,8.4,2015,6512.605042016807,48.844537815126046,연립/다세대,적정보증금,고월세,127.08826299999998,37.538477
베네하우스,중곡동 580-8,4층,2020 10 17,       600/        35,14.436,4.4,2011,1363.6363636363635,79.54545454545455,연립/다세대,적정보증금,고월세,127.08096100000002,37.571056
경민빌리지,중곡동 175-29,4층,2020 10 22,"     1,000/       100",44.96,13.6,2017,735.2941176470587,73.52941176470588,연립/다세대,적정보증금,고월세,127.082405,37.568652
중앙팰리스,중곡동 189-28,2층,2020 10 26,"     5,000/        60",50.76,15.4,2010,3246.7532467532465,38.96103896103896,연립/다세대,적정보증금,고월세,127.080942,37.567037
다인빌,중곡동 295-1,3층,2020 10 31,"     2,000/        60",42.29,12.8,1992,1562.5,46.875,연립/다세대,적정보증금,고월세,127.088259,37.56859
(239-12),능동 239-12,4층,2020 10 24,"     5,000/        60",43.62,13.2,2017,3787.878787878788,45.45454545454546,연립/다세대,적정보증금,고월세,127.083324,37.553711
구삼빌리지,구의동 209-55,4층,2020 10 8,"     6,000/        65",41.74,12.6,2013,5396.027757836804,39.61274627103773,연립/다세대,적정보증금,고월세,127.0918,37.540784
(29-10),구의동 29-10,5층,2020 10 12,"     2,500/        60",28.87,8.7,2019,2011.4942528735635,74.71264367816093,연립/다세대,적정보증금,고월세,127.091659,37.553307
(257-8),구의동 257-8,3층,2020 10 14,"     1,000/        60",27.76,8.4,2012,1168.182628856786,70.09095773140717,연립/다세대,적정보증금,고월세,127.086358,37.538813
대원스마트빌,구의동 78-23,4층,2020 10 16,"     5,000/        65",51.19,15.5,2016,3225.806451612903,41.935483870967744,연립/다세대,적정보증금,고월세,127.088675,37.549247
양진팰리스,구의동 206-25,2층,2020 10 17,"     8,000/        80",44.72,13.5,2015,5925.925925925926,59.25925925925925,연립/다세대,적정보증금,고월세,127.093826,37.541655
한서타운,구의동 211-22,2층,2020 10 19,"     1,000/        55",26.0,7.9,2001,1265.8227848101264,69.62025316455696,연립/다세대,적정보증금,고월세,127.081722,37.529343
한강빌,구의동 248-148,2층,2020 10 20,"     4,000/        60",29.64,9.0,2020,4444.444444444444,66.66666666666667,연립/다세대,적정보증금,고월세,127.08612,37.539803000000006
(225-32),구의동 225-32,5층,2020 10 21,"    13,000/         0",27.06,8.2,2004,6383.480900082385,41.24659651188462,연립/다세대,적정보증금,고월세,127.08911100000002,37.54225
(257-134),구의동 257-134,2층,2020 10 24,"     4,000/        75",48.47,14.7,2004,2721.08843537415,51.020408163265294,연립/다세대,적정보증금,고월세,127.085526,37.538419
(232-82),구의동 232-82,2층,2020 10 26,"     9,000/        65",52.2,15.8,2002,5696.202531645569,41.13924050632911,연립/다세대,적정보증금,고월세,127.086648,37.543834
현대하이츠빌라(251-65),구의동 251-65,1층,2020 10 26,"     1,000/        65",36.34,11.0,1992,909.090909090909,59.09090909090909,연립/다세대,적정보증금,고월세,127.084229,37.539878
영화드포레,구의동 23-43,2층,2020 10 28,"     4,000/        95",49.47,15.0,2020,9647.058823529407,47.25490196078432,연립/다세대,적정보증금,고월세,127.101022,37.547396
경인,자양동 611,3층,2020 10 6,"    15,000/        33",29.41,8.9,2016,8988.76404494382,61.23595505617978,연립/다세대,적정보증금,고월세,127.13326,37.526201
길린빌,자양동 6-45,3층,2020 10 19,"     1,000/        60",20.49,6.2,2014,9070.433378808832,66.99724557019536,연립/다세대,적정보증금,고월세,127.067387,37.543927
제이타워,자양동 219-8,5층,2020 10 22,        60/        35,13.72,4.2,2020,2196.2373324615887,74.12204424103737,연립/다세대,적정보증금,고월세,126.83105,37.535264
제이타워,자양동 219-8,5층,2020 10 22,        60/        35,13.72,4.2,2020,2196.2373324615887,74.12204424103737,연립/다세대,적정보증금,고월세,126.83105,37.535264
건대 메이저 캐슬,자양동 219-24,7층,2020 10 22,        60/        44,19.54,5.9,2020,3901.5085751437655,55.93222378573381,연립/다세대,적정보증금,고월세,127.137827,37.548112
건대 메이저 캐슬,자양동 219-24,7층,2020 10 22,        60/        44,19.54,5.9,2020,3901.5085751437655,55.93222378573381,연립/다세대,적정보증금,고월세,127.137827,37.548112
해오름,자양동 13-17,3층,2020 10 24,       700/        40,12.16,3.7,2009,2533.247533247533,89.76833976833977,연립/다세대,적정보증금,고월세,127.133639,37.550117
(32-27),화양동 32-27,2층,2020 10 9,       500/        55,36.33,11.0,2008,454.5454545454545,50.0,연립/다세대,적정보증금,고월세,127.068705,37.546181
(36-95),화양동 36-95,5층,2020 10 14,"     5,000/        20",17.49,5.3,2010,9433.962264150943,37.735849056603776,연립/다세대,적정보증금,고월세,127.067835,37.544255
olive house,화양동 19-40,2층,2020 10 14,"     1,000/        50",18.52,5.6,2012,4739.010989010989,60.50824175824175,연립/다세대,적정보증금,고월세,127.076119,37.625747
태광2동,월계동 58-8,2층,2020 10 31,"     1,000/        40",34.11,10.3,1988,970.8737864077667,38.83495145631068,연립/다세대,적정보증금,고월세,127.064073,37.61611
수정아트,공릉동 621-1,3층,2020 10 7,"     5,500/        13",19.95,6.0,2011,5328.690739376075,47.35716040284942,연립/다세대,적정보증금,고월세,126.832197,37.540799
