지역코드,건물명,주소,층,거래일,거래금액,면적,건축년도,평,보증금,월세
11170,용산 리브, 문배동 10-3,10층,2020 2 21,"28,300/0",36.06,2017,10.9,"28,300",0
11170,용산씨제이나인파크, 문배동 24-6,5층,2020 2 21,"44,000/0",71.39,2007,21.6,"44,000",0
11170,용산아크로타워, 문배동 24-21,5층,2020 2 22,"38,000/0",51.45,2007,15.6,"38,000",0
11170,용산아크로타워, 문배동 24-21,7층,2020 2 22,"24,000/0",28.72,2007,8.7,"24,000",0
11170,삼라마이다스빌, 문배동 40-19,6층,2020 2 24,500/75,28.23,2004,8.5,500,75
11170,리첸시아 용산B, 문배동 40-31,3층,2020 2 24,"38,000/0",56.37,2010,17.1,"38,000",0
11170,프라임펠리스, 문배동 24-8,11층,2020 2 25,"15,000/0",18.77,2012,5.7,"15,000",0
11170,용산KCC웰츠타워, 문배동 11-10,5층,2020 2 27,"21,000/0",29.97,2015,9.1,"21,000",0
11170,리첸시아 용산B, 문배동 40-31,3층,2020 2 27,"37,000/0",51.42,2010,15.6,"37,000",0
11170,용산씨제이나인파크, 문배동 24-6,3층,2020 2 28,"43,000/0",54.96,2007,16.6,"43,000",0
11170,용산씨제이나인파크, 문배동 24-6,11층,2020 2 29,"49,000/0",71.39,2007,21.6,"49,000",0
11170,용산큐브, 문배동 24-4,9층,2020 2 29,"5,000/50",17.46,2013,5.3,"5,000",50
11170,용산큐브, 문배동 24-4,6층,2020 2 29,"5,000/50",17.46,2013,5.3,"5,000",50
11170,대우 월드마크 용산, 한강로1가 64,26층,2020 2 1,"2,000/200",83.07,2007,25.1,"2,000",200
11170,용산파크자이, 한강로1가 50-1,19층,2020 2 1,"26,000/0",31.83,2005,9.6,"26,000",0
11170,용산파크자이, 한강로1가 50-1,31층,2020 2 6,"29,500/0",37.26,2005,11.3,"29,500",0
11170,용산파크자이, 한강로1가 50-1,9층,2020 2 8,"25,000/0",32.89,2005,9.9,"25,000",0
11170,용산파크자이, 한강로1가 50-1,8층,2020 2 12,"27,000/30",52.84,2005,16.0,"27,000",30
11170,용산파크자이, 한강로1가 50-1,2층,2020 2 17,"13,000/51",37.26,2005,11.3,"13,000",51
11500,한빛어반뉴스토리, 염창동 266-12,5층,2020 2 1,"20,000/0",28.69,2018,8.7,"20,000",0
11500,그린뷰, 염창동 261-12,7층,2020 2 1,"1,000/50",16.31,2018,4.9,"1,000",50
11500,한빛어반뉴스토리, 염창동 266-12,11층,2020 2 1,"1,000/84",28.69,2018,8.7,"1,000",84
11500,한빛어반뉴스토리, 염창동 266-12,5층,2020 2 1,"22,000/0",28.69,2018,8.7,"22,000",0
11500,한빛어반뉴스토리, 염창동 266-12,15층,2020 2 1,"21,000/0",28.69,2018,8.7,"21,000",0
11500,노블레르, 염창동 264-26,4층,2020 2 1,"22,000/0",27.72,2019,8.4,"22,000",0
11500,그린뷰, 염창동 261-12,7층,2020 2 3,"1,000/52",16.84,2018,5.1,"1,000",52
11500,팔레시움, 염창동 283-2,5층,2020 2 3,500/50,18.14,2012,5.5,500,50
11500,서경팰리스, 염창동 267-10,8층,2020 2 3,"22,570/0",28.69,2018,8.7,"22,570",0
